album_id,album_comments,album_date_created,album_year_released,album_engineer,album_favorites,album_handle,album_image_file,album_images,album_information,album_listens,album_producer,album_title,album_tracks,album_type,album_url,artist_name,artist_url,tags
1,0,11/26/2008 01:44:45 AM,2009,,4,AWOL_-_A_Way_Of_Life,https://freemusicarchive.org/file/images/albums/AWOL_-_AWOL_-_A_Way_Of_Life_-_2009113011911435.jpg,"[{'image_id': '1955', 'image_file': 'https://freemusicarchive.org/file/images/artists/AWOL_-_2009113014453413.jpg', 'image_title': 'artists Image', 'image_caption': 'azillion records', 'image_copyright': None, 'image_source': None}]",<p></p>,6073,,AWOL - A Way Of Life,7,Album,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/,AWOL,http://freemusicarchive.org/music/AWOL/,[]
4,0,11/26/2008 01:45:05 AM,2009,,2,Niris,https://freemusicarchive.org/file/images/albums/Chris_and_Nicky_Andrews_-_Niris_-_2009113012134556.jpg,"[{'image_id': '22674', 'image_file': 'https://freemusicarchive.org/file/images/artists/Nicky_Cook_-_2013031251040420.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>??""spiritual songs"" from Nicky Cook</p>",2710,,Niris,13,Album,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/,Nicky Cook,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/,[]
6,0,11/26/2008 01:45:08 AM,2008,,4,Constant_Hitmaker,https://freemusicarchive.org/file/images/albums/Kurt_Vile_-_Constant_Hitmaker_-_2009113012923399.jpg,"[{'image_id': '156', 'image_file': 'https://freemusicarchive.org/file/images/albums/Kurt_Vile_-_Live_at_WFMU_on_Talks_Cheap_8112008_-_2009113012926626.jpg', 'image_title': ""Album Image: Kurt Vile - Live at WFMU on Talk's Cheap 8/11/2008"", 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '158', 'image_file': 'https://freemusicarchive.org/file/images/albums/Kurt_Vile_-_Live_at_WFMU_on_Talks_Cheap_8112008_-_2009113012927473.jpg', 'image_title': ""Album Image: Kurt Vile - Live at WFMU on Talk's Cheap 8/11/2008"", 'image_caption': None, 'image_copyright': None, 'image_source': None}, {'image_id': '157', 'image_file': 'https://freemusicarchive.org/file/images/albums/Kurt_Vile_-_Live_at_WFMU_on_Talks_Cheap_8112008_-_2009113012925772.jpg', 'image_title': ""Album Image: Kurt Vile - Live at WFMU on Talk's Cheap 8/11/2008"", 'image_caption': None, 'image_copyright': None, 'image_source': None}]",,47632,,Constant Hitmaker,2,Album,http://freemusicarchive.org/music/Kurt_Vile/Constant_Hitmaker/,Kurt Vile,http://freemusicarchive.org/music/Kurt_Vile/,[]
58,1,11/26/2008 01:49:19 AM,2009,,0,mp3_1_1535,https://freemusicarchive.org/img/generic/album-default-single.png,"[{'image_id': '609', 'image_file': 'https://freemusicarchive.org/file/images/artists/Andy_Hayleck_-_2009113014422121.jpg', 'image_title': 'artists Image', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>A couple of unreleased mp3s from the fellas of Abominog, featuring Grady Runyan, Mitch (Rubin Fiberglass) Fogelman, and Mr. Wall.<em><em></em></em><em></em></p>
<p>See also: The Bad Trips<span id=""comment-124256430-content"">/Liquorball/Monoshock/BadTrip/CardinalSin/etc/etc/etc.</span></p>",3331,,mp3,4,Single Tracks,http://freemusicarchive.org/music/Abominog/mp3_1_1535/,Abominog,http://freemusicarchive.org/music/Abominog/,[]
59,1,11/26/2008 01:49:35 AM,2006,,2,Live_at_LACE,https://freemusicarchive.org/file/images/albums/Airway_-_Live_at_LACE_-_2009113011749812.jpg,"[{'image_id': '380', 'image_file': 'https://freemusicarchive.org/file/images/artists/Animal_Writes_-_2009113014425894.jpg', 'image_title': 'Artist Image: Animal Writes', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>Here's the proof in the pudding that the ascent of the Japanese noise scene actually was pretty well informed by the long-enduring weirdos of the <a href=""http://en.wikipedia.org/wiki/Los_Angeles_Free_Music_Society"">Los Angeles Free Music Society</a>. Well, more than they get credit for, anyway. It's no surprise that Keiji Haino came knocking on the Doodooettes' door in the early 1980's, nor that self crowned king of noize Jojo from Hijo Kaidan claimed he threw away the rule book and started from squat after he heard the live Airway recording, and now it's available again and its lo-fi muck shines glorious even in CD format. Comprised of LAFMS stable stalwarts Rick Potts, Juan Gomez (also of Human Hands fame), Tom Recchion, Joe Potts, Chris Chapman, Dennis Duck (who also has a new reissue of vinyl-glop tomfoolery on the <a href=""http://www.poobah.com/label/"">Poo-Bah</a> label) and banshee vocalist Vetza, this set was originally an LP in 1978 and also included in the 10CD LAFMS box set years ago, but has been remastered from the original source for this disc. It blazes like few other things from Tinseltown, that's for certain; a mutant jam of unrecognizable instruments (I dare say that the blaring scrapheap that rolls over everything in the mix in the middle of track 2 might be the <em>mandolin</em>????) Totally berzerk short-circuit mayhem that probably never had a chance to co-star in <em>Urgh! A Music War</em> by a long shot. But you, dear listener, deserve to be there. (-by Brian Turner at <a href=""http://blog.wfmu.org/freeform/2007/04/recent_faves_fr.html""><em>WFMU's Beware of the Blog</em></a>)</p>",1681,,Live at LACE,2,Live Performance,http://freemusicarchive.org/music/Airway/Live_at_LACE/,Airway,http://freemusicarchive.org/music/Airway/,['lafms']
60,0,11/26/2008 01:49:57 AM,2009,,1,Every_Man_For_Himself,https://freemusicarchive.org/file/images/albums/Alec_K_Redfearn_and_the_Eyesores_-_Every_Man_For_Himself_-_2009113011759189.jpg,"[{'image_id': '812', 'user_id': None, 'artist_id': None, 'album_id': '60', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Alec_K_Redfearn_and_the_Eyesores_-_Every_Man_For_Himself_-_2009113011759189.jpg', 'image_title': 'albums Image', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>A full ensamble of strings, drums, electronics, farfisa, horns and of course Alec's signature accordian. carnival-esque and romantic to down right murderous at times.</p>",1304,,Every Man For Himself,2,Album,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/,Alec K. Redfearn & the Eyesores,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/,[]
61,1,11/26/2008 01:49:59 AM,2007,,1,The_Blind_Spot,https://freemusicarchive.org/file/images/albums/Alec_K_Redfearn_and_the_Eyesores_-_The_Blind_Spot_-_2009113011759706.jpg,"[{'image_id': '813', 'user_id': None, 'artist_id': None, 'album_id': '61', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Alec_K_Redfearn_and_the_Eyesores_-_The_Blind_Spot_-_2009113011759706.jpg', 'image_title': 'albums Image', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>Alec K. Redfearn &amp; The Eyesores: Ellen Santaniello (soprano); Domenick Panzarella (guitar); Steve Jobe (hurdy-gurdy); Sarah Tolan-Mee, Olivia Geiger (violin); Laura Gulley (viola); Alec K. Redfearn (accordion); Erica Schattle (bassoon); Jason <span id=""switchNoteSnippet"" style=""display: none;"">...&nbsp;&nbsp;&nbsp; <a class=""notimportantlink"" style=""cursor: pointer;"" onclick=""javascript:showelement(&quot;NoteSnippet&quot;, &quot;&quot;, &quot;switchNoteSnippet&quot;);"">Full&nbsp;Description</a></span><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">McGill (alto saxophone); Orion Rigel Dommisse (organ); Matt McLaren (drums); Frank Difficult (programming); Chris Sadlers, Margie Wienk, Ann Schattle</span></p>",1300,"Alec K. Refearn, Rob Pemberton",The Blind Spot,1,Album,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/The_Blind_Spot/,Alec K. Redfearn & the Eyesores,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/,[]
62,0,11/26/2008 01:50:03 AM,2005,,1,The_Quiet_Room,https://freemusicarchive.org/file/images/albums/Alec_K_Redfearn_and_the_Eyesores_-_The_Quiet_Room_-_2009113011800085.jpg,"[{'image_id': '397', 'image_file': 'https://freemusicarchive.org/file/images/artists/Argumentix_-_2009113014437998.jpg', 'image_title': 'Artist Image: Argumentix', 'image_caption': None, 'image_copyright': None, 'image_source': None}]","<p>Recorded at Sound Station Seven and at home<br /> engineered by John Jacobson, Todd Jessop and Alec K. Redfearn <br /> mastered by Brad Blackwood at Euphonic Mastering</p>
<p>Alec K. Redfearn/The Eyesores: Alec K. Redfearn (vocals, various instruments, accordion, piano, Hammond b-3 organ, cymbals, Jew's harp)</p>
<p>Margie Wienk (vocals, double bass)</p>
<p>Alec Thibodeau (guitar)</p>
<p>Olivia Geiger (violin)</p>
<p>James McGill (alto <span id=""switchNoteSnippet"" style=""display: none;"">...&nbsp;&nbsp;&nbsp; <a class=""notimportantlink"" style=""cursor: pointer;"" onclick=""javascript:showelement(&quot;NoteSnippet&quot;, &quot;&quot;, &quot;switchNoteSnippet&quot;);"">Full&nbsp;Description</a></span><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">saxophone, percussion)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Ann Schattle (French horn)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Chris Saraullo (glockenspiel, tom tom)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Matt McLaren (drums)</span></p>
<p><span id=""NoteSnippet"" style=""display: inline; visibility: visible;"">Frank Difficult (electronics, sound effects).</span></p>",845,,The Quiet Room,1,Album,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/The_Quiet_Room/,Alec K. Redfearn & the Eyesores,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/,[]
64,0,11/26/2008 01:50:07 AM,2009,,0,Amoebiasis,https://freemusicarchive.org/file/images/albums/Amoebic_Ensemble_-_Amoebiasis_-_2009113011815218.jpg,"[{'image_id': '3708', 'image_file': 'https://freemusicarchive.org/file/images/artists/Ariel_Pinks_Haunted_Graffiti_-_2009113014438891.jpg', 'image_title': 'artists Image', 'image_caption': ""Ariel Pink's Haunted Graffiti"", 'image_copyright': 'CC by', 'image_source': 'http://www.flickr.com/photos/97793800@N00/2775452840/'}, {'image_id': '3707', 'image_file': 'https://freemusicarchive.org/file/images/artists/Ariel_Pinks_Haunted_Graffiti_-_2009113014438061.jpg', 'image_title': 'artists Image', 'image_caption': 'Ariel Pink', 'image_copyright': None, 'image_source': None}]","<p><em>A</em>lthough recorded in Providence in late 1996 and early 1997, <em>Amoebiasis </em>was released on the French record label Stupeur et Trompette! in 1998.</p>",2014,Tom Buckland,Amoebiasis,0,Album,http://freemusicarchive.org/music/Amoebic_Ensemble/Amoebiasis/,Amoebic Ensemble,http://freemusicarchive.org/music/Amoebic_Ensemble/,[]
65,0,11/26/2008 01:50:13 AM,1995,,1,Limbic_Rage,https://freemusicarchive.org/file/images/albums/Amoebic_Ensemble_-_Limbic_Rage_-_2009113011816264.jpg,"[{'image_id': '371', 'user_id': None, 'artist_id': None, 'album_id': '65', 'curator_id': None, 'image_file': 'https://freemusicarchive.org/file/images/albums/Amoebic_Ensemble_-_Limbic_Rage_-_2009113011816264.jpg', 'image_title': 'Album Image: Amoebic Ensemble - Limbic Rage', 'image_caption': None, 'image_copyright': None, 'image_source': None, 'image_order': '0'}]","<p>""Excellent accordion oriented avant-prog band, blending naiveness behind complex structured compositions . Chamber rock music mixed with plink plonky circus sounds and an excellent accordion in the background!"" (-via <a href=""http://mutant-sounds.blogspot.com/2008/03/amoebic-ensemble-limbic-ragecd1995usa.html"" target=""_blank"">Mutant Sounds</a>)</p>",1446,,Limbic Rage,0,Album,http://freemusicarchive.org/music/Amoebic_Ensemble/Limbic_Rage/,Amoebic Ensemble,http://freemusicarchive.org/music/Amoebic_Ensemble/,[]
